t[s];CAN3.VCU_APPS_RAW.apps_1000[]
81.890200;370
81.900200;373
81.910200;378
81.920100;381
81.930200;389
81.940200;395
81.950200;397
81.960200;401
81.970100;405
81.980200;406
81.990200;406
82.000200;405
82.010100;400
82.020200;393
82.030200;391
82.040200;382
82.050200;374
82.060200;374
82.070200;367
82.080200;368
82.090200;371
82.100100;378
82.110200;382
82.120200;397
82.130100;396
82.140100;397
82.150200;392
82.160100;388
82.170200;380
82.180200;373
82.190200;365
82.200200;353
82.210200;340
82.220200;328
82.230200;315
82.240200;299
82.250200;289
82.260200;255
82.270200;232
82.280200;206
82.290200;179
82.300200;152
82.310200;121
82.320200;87
82.330200;61
82.340100;43
82.350200;5
82.360200;0
82.370200;0
82.380200;0
82.390200;0
82.400100;0
82.410200;0
82.420200;0
82.430200;0
82.440200;0
82.450200;0
82.460200;0
82.470200;0
82.480200;0
82.490200;0
82.500200;0
82.510200;0
82.520200;0
82.530200;0
82.540100;0
82.550200;0
82.560100;0
82.570100;0
82.580200;0
82.590100;0
82.600200;0
82.610200;0
82.620200;0
82.630200;0
82.640200;0
82.650200;0
82.660200;0
82.670200;0
82.680200;0
82.690100;0
82.700200;0
82.710200;0
82.720200;0
82.730100;0
82.740200;0
82.750200;0
82.760200;0
82.770200;0
82.780200;0
82.790200;0
82.800200;0
82.810200;0
82.820200;0
82.830200;0
82.840100;0
82.850200;0
82.860200;0
82.870100;0
82.880200;0
82.890200;0
82.900200;0
82.910200;0
82.920200;0
82.930200;0
82.940200;0
82.950200;0
82.960200;0
82.970200;0
82.980200;0
82.990200;0
83.000200;9
83.010100;28
83.020200;46
83.030200;65
83.040200;77
83.050200;80
83.060200;81
83.070200;78
83.080200;74
83.090200;71
83.100100;78
83.110200;86
83.120200;105
83.130200;112
83.140200;130
83.150100;153
83.160200;170
83.170200;186
83.180200;204
83.190200;217
83.200200;224
83.210200;230
83.220200;234
83.230200;242
83.240200;242
83.250200;237
83.260200;232
83.270200;221
83.280100;206
83.290100;195
83.300200;185
83.310200;181
83.320200;179
83.330200;182
83.340200;186
83.350200;180
83.360200;177
83.370100;162
83.380100;138
83.390200;113
83.400200;94
83.410200;76
83.420200;69
83.430200;73
83.440200;65
83.450200;68
83.460200;80
83.470200;89
83.480200;98
83.490200;101
83.500200;101
83.510100;99
83.520200;96
83.530200;94
83.540200;87
83.550200;80
83.560200;70
83.570200;59
83.580200;49
83.590200;36
83.600200;24
83.610200;5
83.620200;0
83.630200;0
83.640200;0
83.650200;0
83.660200;0
83.670200;0
83.680200;0
83.690200;0
83.700100;0
83.710200;0
83.720200;0
83.730200;0
83.740200;7
83.750100;15
83.760200;26
83.770200;34
83.780200;42
83.790200;43
83.800200;49
83.810100;59
83.820200;79
83.830200;103
83.840100;129
83.850200;155
83.860200;183
83.870200;216
83.880200;244
83.890200;264
83.900200;283
83.910200;289
83.920200;289
83.930200;288
83.940200;287
83.950200;276
83.960200;304
83.970200;324
83.980200;332
83.990200;338
84.000200;347
84.010200;345
84.020200;343
84.030200;345
84.040200;343
84.050200;349
84.060200;368
84.070100;406
84.080200;443
84.090200;484
84.100200;508
84.110200;510
84.120200;517
84.130200;511
84.140200;501
84.150200;473
84.160200;447
84.170200;427
84.180200;414
84.190100;406
84.200200;406
84.210200;404
84.220200;401
84.230200;404
84.240200;410
84.250200;425
84.260200;439
84.270200;459
84.280100;476
84.290200;483
84.300200;475
84.310200;462
84.320200;441
84.330200;416
84.340100;403
84.350200;390
84.360200;374
84.370200;374
84.380200;374
84.390200;378
84.400200;384
84.410200;392
84.420200;401
84.430200;412
84.440200;416
84.450200;423
84.460200;427
84.470200;434
84.480200;454
84.490200;460
84.500200;468
84.510200;472
84.520200;465
84.530200;466
84.540200;462
84.550200;456
84.560100;438
84.570200;416
84.580100;393
84.590200;373
84.600200;358
84.610200;354
84.620200;350
84.630200;348
84.640200;356
84.650100;364
84.660200;376
84.670200;392
84.680200;406
